@relation foodfacts
@attribute vitamin-c_100g numeric
@attribute sodium_100g numeric
@attribute salt_100g numeric
@attribute proteins_100g numeric
@attribute fiber_100g numeric
@attribute sugars_100g numeric
@attribute carbohydrates_100g numeric
@attribute saturated-fat_100g numeric
@attribute fat_100g numeric
@attribute energy_100g numeric
@attribute nutrition-score-fr_100g {bad, medium, good}
@data
0,0.488,1.24,11.6,6.98,6.98,46.5,1.16,3.49,1070,medium
0.0059,0.59,1.5,1.64,1.64,3.28,6.56,0,0,138,medium
0,0.214,0.544,32.1,0,0,3.57,17.9,28.6,1640,good
0,0,0,0,0,0,0,50,78.6,2990,good
0,0,0,12.5,3.57,3.57,73.2,0,1.79,1490,bad
0,0.429,1.09,3.57,3.57,2.86,28.6,1.07,7.14,807,medium
0,0.692,1.76,0,0,0,0,11.5,76.9,2900,good
0.03,0.188,0.476,0.833,0,9.17,10.8,0,0,192,medium
0,0.732,1.86,2.44,0.813,0,7.32,0.407,1.63,238,medium
0,0.00422,0.0107,0,0,0,0,0,0,0,medium
0,0.607,1.54,10.7,3.57,7.14,82.1,0,1.79,1640,medium
0,0.208,0.529,1.22,0,0.408,0.408,0,0,25.7,medium
0,0.85,2.16,5,5,60,75,10,15,1680,good
0,0.395,1,5.26,0,31.6,57.9,10.5,23.7,1760,good
0,0.357,0.907,3.57,0,35.7,60.7,8.93,21.4,1940,good
0.005,0.00625,0.0159,0,0,12.1,12.9,0,0,174,good
0.005,0.4,1.02,1.67,0.833,10,16.7,0,0,314,medium
0.001,0.742,1.88,3.33,2.5,1.67,12.5,0.417,0.833,314,medium
0,0.742,1.88,2.5,0.833,2.5,6.67,0.417,1.67,209,medium
0,0.725,1.84,0.833,1.67,0.833,7.5,0.833,5,348,medium
0.001,0.742,1.88,3.33,2.5,1.67,12.5,0.417,0.833,314,medium
0,0.725,1.84,5.83,6.67,3.33,21.7,0.833,2.5,558,medium
0.03,0.271,0.687,0.588,0.882,2.65,4.12,0,0,86.2,bad
0,0.725,1.84,1.67,1.67,0.833,8.33,2.08,6.67,418,medium
0.03,0.271,0.688,0.833,0.833,2.92,4.17,0,0,20.8,bad
0,0.625,1.59,0.833,0.833,0,7.5,0.417,2.08,209,medium
0,0.625,1.59,1.67,0,0.833,7.5,0.417,2.08,244,medium
0.03,0.271,0.687,0.588,0.882,2.65,4.12,0,0,86.2,bad
0,0.4,1.02,1.67,0.833,0.833,10,0.417,1.67,244,medium
0.025,0.0479,0.122,0,0,4.17,5.42,0,0,87.1,bad
0,0.65,1.65,1.67,0,1.67,5,5.83,11.7,558,good
0,0.617,1.57,1.67,0,1.67,5,5,10,488,good
0,0,0,12.5,3.57,3.57,73.2,0,1.79,1490,bad
0,0.322,0.81788,6,4.3,2.9,17.6,2,6,619,bad
0.00106,0.142,0.36,13.3,0,0,0,0,0.442,259,bad
0.00353,0.0441,0.112,4.12,0,11.8,14.1,0.882,1.47,345,medium
0.035,0.275,0.699,2.5,1.67,1.67,10,6.67,12.5,662,medium
0,0.281,0.714,21.9,6.25,3.12,18.8,7.81,50,2620,good
0,0.242,0.616,21.2,6.06,9.09,24.2,9.09,48.5,2410,good
